title,abstract,year,pmid,source,paperId,study_design,base_score,sample_size,evidence_score
a novel combination for in vivo breast cancer treatment: tak1 inhibition combined with metformin and lentinula edodes compounds synergistically reinvigorates cd8(+) t cells.,"background: breast cancer (bc) is the most prevalent cancer among women, and retrieving the anti-tumor function of the immune system seems a promising treatment approach for its crucial role in combating cancer cells. in this study, we evaluated the impact of a combination therapy containing a tak1 inhibitor, takinib (tak), a metabolic regulator, metformin (met), and an immunostimulant, lentinula edodes mycelia extract (leme) on enhancing the immune system's anti-tumor activity in balb/c mice bearing triple-negative breast cancer (tnbc). methods: balb/c mice were used to induce tnbc tumors and evaluate tumor growth inhibition. the number of cd8(+) cd28(+) t cells was determined by immunofluorescence assay, the expression of muc1 protein was assessed by western blot, while the expression of tox, nr4a1, and tim-3 genes was evaluated by real-time pcr in mouse-derived tumor tissues. mtt assay was performed on different bc cell lines to assess cell viability. results: molecular docking results revealed significant interactions between tak and met with tox and nr4a1. the combination treatments of tak, met, and leme significantly decreased tumor volume/weight in mice and also significantly increased the number of infiltrated cd8(+) cd28(+) t cells, reduced muc-1 protein expression, and decreased the expression of tox, nr4a1, and tim-3 genes in mouse tumor tissue. tak, met, and their combination significantly decreased the cell viability of different bc cell lines. conclusion: this study suggests that the tak-met-leme combination treatments may inhibit bc progression by increasing cd8(+) cd28(+) t cell population in tumor tissue and decreasing tumor progression.",2026 May 5,42087141.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
exploration of bmi and circulating metabolic factors as predictors of metformin benefit in cctg ma.32.,"background: in the ma.32 randomized adjuvant breast cancer (bc) trial, metformin (vs placebo) did not impact invasive disease free (idfs) or overall survival (os) in estrogen/progesterone receptor (er/pgr) positive or negative bc; exploratory analyses suggested a benefit in her2 positive bc. we investigated whether body mass index (bmi) and obesity-associated blood variables predicted metformin benefit in immunohistochemically defined bc subtypes [luminal (er/pgr positive, her2 negative), triple negative (tnbc; er, pgr, her2 negative), her2 positive]. methods: 3649 non-diabetic patients with high risk t1-3, n0-3 m0 bc were randomized. baseline fasting plasma was assayed for insulin, glucose, leptin, hscrp; homeostasis model assessment (homa) was calculated. for each bc subtype and each outcome [distant recurrence free survival (drfs), os, idfs], cox models examined interactions of body mass index (bmi) and blood variables with metformin vs placebo outcomes. results: mean age was 51.1 to 53.0 years; mean bmi 27.3 to 27.5 kg/m. 2 most cancers were t2, n0 or n1 and grade 2 to 3; 2104 (57.7%) were luminal, 925 (25.3%) tn and 620 (17.0%) her2 positive. median follow-up 95.9 months. in luminal bc, significant interactions were identified for leptin, insulin and homa on drfs and in tnbc a significant interaction was identified for glucose on drfs, with potential adverse effects of metformin at lower levels of each variable. in those with her2 positive bc, no variable predicted metformin benefit. conclusions: bmi and blood variables did not identify subgroups with luminal or triple negative bc who benefitted from metformin nor those with her2 positive bc who did not benefit.",2026 Apr 30,42063220.0,PubMed,,Undetermined / Default,4.0,-1,4.0
ampk/mtorc2/akt-473/runx2 signaling axis modulates epithelial-mesenchymal transition and bone tropism in breast cancer.,"introduction: metformin, a widely used biguanide for the treatment of type 2 diabetes, has been extensively studied for its potential anti-cancer properties, primarily attributed to its inhibitory effects on mtorc1 signaling. however, accumulating evidence suggests that its impact on tumor progression is highly context-dependent, varying with cellular and metabolic conditions. in this study, we investigated the mechanistic effects of metformin on runx2 and mtorc2 signaling pathways in breast cancer. methods: the study was conducted using in silico, in vitro, and in vivo analysis. in vitro experiments was carried out using mda-mb-231 breast cancer cells to evaluate the regulatory effects of metformin on runx2 and mtorc2 signaling. gene knockdown approaches targeting rictor were employed to assess pathway interactions, and molecular analyses were performed to examine the involvement of ampk and gsk3beta in regulating runx2 stability and downstream signaling events. tumor samples were analyzed to validate the clinical relevance of the observed molecular alterations. additionally, in vivo studies were performed to assess the functional impact of the identified signaling axis on tumor progression and metastatic potential. results: metformin treatment resulted in enhanced mtorc2 activity in a runx2-dependent manner, mediated through ampk-driven stabilization of runx2. furthermore, silencing of rictor, a critical component of mtorc2, induced runx2 degradation via a gsk3beta-dependent mechanism, indicating a reciprocal regulatory relationship between runx2 and mtorc2 pathways. functional analyses demonstrated that the ampk-runx2-mtorc2 signaling axis promotes epithelial-mesenchymal transition (emt) and enhances the bone metastatic potential of breast cancer cells. discussion: these findings reveal a context-dependent role of metformin in modulating metastatic signaling pathways through the ampk-runx2-mtorc2 axis. the study highlights the complexity of metformin's action in biology and underscores its potential to differentially regulate tumor progression and metastasis depending on the molecular context.",2026,42038368.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
bile duct ligation impairs function and expression of breast cancer resistance protein in rat blood-retinal barrier mainly due to both the increased ammonia and bilirubin.,"patients with liver failure often suffer from hepatic retinopathy, partly due to the blood-retinal barrier (brb) impairment. brb includes the inner brb formed by retinal microvascular endothelial cells and the outer brb formed by retinal pigment epithelial cells. breast cancer resistance protein (bcrp), highly expressed in the inner brb, regulates retinal homeostasis. to investigate the effects of liver failure on retina bcrp function and expression, we used bile duct ligation (bdl) rats as an animal model, and the bcrp function and brb integrity were evaluated via retinal prazosin/sulfasalazine distribution and fluorescein isothiocyanate-conjugated dextran permeability using total 18 bdl and 18 sham rats (n = 6 per group), respectively. the results demonstrated that bdl significantly downregulated retina bcrp expression (decrease 1.7-fold of sham rats) and function without affecting brb permeability, alongside 50%-75% reductions in jnk and p-jnk expression, as well as 30% increases in reactive oxygen species (ros) levels and 2-fold elevations in p-erk1/2 expression. the primarily cultured rat retinal microvascular endothelial cells were used to investigate the mechanism of bcrp expression impairment by bdl. in vitro, nh(4)cl significantly downregulated the expression of bcrp, jnk, and p-jnk protein, which were attenuated by jnk activator, metformin. bilirubin could also decrease bcrp expression, accompanied by increased levels of ros and p-erk1/2. n-acetyl-l-cysteine and u0126 attenuated the bilirubin- or h(2)o(2)-induced downregulation of bcrp protein. confirming this in vivo, bilirubin and ammonium acetate recapitulated bcrp suppression via ros-erk1/2 and jnk pathways, respectively (n = 6 per group). in summary, bdl downregulated the expression and function of bcrp in rat retina, partly due to increases in levels of both ammonia and bilirubin. ammonia impaired bcrp expression by inactivating the jnk pathway, while bilirubin suppressed bcrp expression by activating the ros-erk1/2 pathway. significance statement: bile duct ligation-induced ammonia and bilirubin accumulation downregulated retinal breast cancer resistance protein (bcrp) expression and function. ammonia impaired the expression of bcrp by inactivating the jnk pathway, while bilirubin suppressed bcrp expression through activating the ros-erk1/2 pathway.",2026 May,42000303.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,6,2.0
the role of the hmgb1 c-terminal domain in epithelial-mesenchymal transition and invasion in 2d and 3d mda-mb-231 breast cancer models.,"high-mobility group box 1 (hmgb1) is a multifunctional protein that operates both within the nucleus and as an extracellular signaling molecule. its extracellular activity has been increasingly associated with cancer progression. emerging evidence suggests that structural modifications of hmgb1, including c-terminal truncation, may alter its biological activity, though the underlying mechanisms remain largely unexplored. here, we show that hmgb1, which lacks the entire c-terminal acidic tail, is associated with increased cellular plasticity and invasive potential through distinct signaling pathways not strictly dependent on rage (receptor for advanced glycation end-product) under the tested conditions. functional analyses indicate that this truncated form promotes epithelial-mesenchymal transition-related behaviors and activates downstream inflammatory signaling in a context-dependent manner. notably, pharmacological intervention with metformin effectively suppressed responses to the full-length protein but was less effective against the tail-less variant, underscoring potential therapeutic challenges. these findings suggest an underappreciated regulatory role of the hmgb1 c-terminal domain in tumor aggressiveness.",2026 Mar 30,41977331.0,PubMed,,Undetermined / Default,4.0,-1,4.0
"studying synergistic anticancer effects of repurposed at(1)b losartan with antidiabetics metformin, rosiglitazone in triple-negative breast cancer cells.","this article investigates the effects of losartan, metformin, and rosiglitazone on triple-negative breast cancer (tnbc) with an intent to repurpose these drugs for cancer therapy. the cytotoxicity of the compounds was evaluated through the mtt assay, where cells were exposed to each drug, both singularly and in combinations, over 48 h. the median inhibitory concentration (ic50) for each drug was calculated using nonlinear regression via graphpad prism, yielding ic50 values of 1231 mum for losartan, 30.37 mum for metformin, and 267.1 mum for rosiglitazone. the study highlights a synergistic effect particularly between losartan and metformin in tnbc, revealing a 1.6-fold increase in potency at a fixed 1:1 combination ratio. this combination facilitated enhanced cell growth inhibition over individual drug treatments, particularly at concentrations below 1280 mum. furthermore, when losartan was combined with rosiglitazone, there was a notable augmentation in synergistic effects, underscoring improved efficacy, as seen by right-shifted dose-response curves and increased maximal responses at concentrations of 320 mum or higher. in assays with mda-mb-231 cells, strong synergy was detected at minimal doses when losartan and metformin were combined, leading to significant dose reduction indices (dris) of 21.92 for losartan and 17.247 for metformin. in contrast, findings indicated that while losartan moderately inhibited growth within 48 h, the combination treatment did not yield any additional synergism with rosiglitazone at lower doses. the study concludes that although losartan and rosiglitazone exhibit strong synergy in inhibiting tnbc growth, the concurrent administration of these drugs at lower dosages presents limitations in achieving further synergistic or additive effects.",2026 Apr 28,41967625.0,PubMed,,Undetermined / Default,4.0,-1,4.0
overcoming immunotherapy resistance in breast cancer: a novel strategy by targeting the integrated stress response.,"immunotherapy resistance remains a major obstacle in treating breast cancer, particularly aggressive subtypes like triple-negative breast cancer (tnbc). this review delineates the pivotal role of the integrated stress response (isr) as a central metabolic-immune regulator driving this resistance. the isr is activated in the tumor microenvironment (tme) by diverse stressors-including hypoxia, nutrient scarcity, and er stress-via four upstream kinases (perk (pkr-like er kinase), gcn2, pkr, hri). these kinases converge to phosphorylate eukaryotic initiation factor 2alpha (eif2alpha), leading to the selective translation and robust activation of the transcription factor atf4. the ensuing atf4-driven program fosters an immunosuppressive tme through multifaceted mechanisms: tumor-intrinsic upregulation of pd-l1, secretion of immunosuppressive exosomes, metabolic reprogramming that depletes critical amino acids, and direct impairment of t cell function and antigen presentation. concurrently, isr activation in immune cells-such as myeloid-derived suppressor cells (mdscs) and dendritic cells-further dampens antitumor immunity. targeting the isr with small-molecule inhibitors (perk or gcn2 inhibitors, isrib) or repurposed agents (metformin) demonstrates compelling preclinical efficacy in reversing immunosuppression and synergizing with immune checkpoint inhibitors. biomarker-driven strategies, including isr gene signatures and p-eif2alpha immunohistochemistry, offer promising avenues for patient stratification. thus, pharmacological targeting of the isr represents a strategically viable approach to reprogram the immunosuppressive tme and overcome immunotherapy resistance in breast cancer, warranting urgent clinical investigation.",2026,41938533.0,PubMed,,Narrative Review / Editorial / Commentary,4.0,-1,4.0
metformin drives hif-1alpha-mediated dual metabolic reprogramming to enhance gammadelta t cell therapy in triple-negative breast cancer.,"triple-negative breast cancer (tnbc) lacks effective targeted treatments, rendering gammadelta t cell immunotherapy a promising therapeutic strategy. however, the function of these immune cells is often limited by exhaustion and immunosuppression. this study investigated whether metformin can enhance gammadelta t cell-mediated immunity against tnbc. results demonstrated that metformin increased the cytotoxicity, proliferation, and cytokine production of gammadelta t cells while reducing their exhaustion markers. it differentially modulated cellular metabolism by enhancing oxidative phosphorylation (oxphos) and glycolysis in gammadelta t cells while suppressing these pathways in cancer cells through ampk-hif1-alpha signaling. metformin also upregulated stress ligands on tumor cells, thereby improving immune recognition. in chemoresistant models, metformin restored gammadelta t cell function. clinical data further showed that high ampk activity and increased gammadelta t cell infiltration were associated with improved patient survival. these findings indicate that metformin remodels immunometabolism and enhances tumor immunogenicity, supporting its potential as a combinatory agent in gammadelta t cell-based immunotherapy for tnbc.",2026 Apr 2,41925872.0,PubMed,,Undetermined / Default,4.0,-1,4.0
tumor cell membrane-camouflaged nanoparticles co-delivering docetaxel and metformin for enhanced synergistic therapy of her2-positive breast cancer.,"the clinical efficacy of docetaxel (dtx) in treating her2-positive breast cancer is hampered by poor solubility and systemic toxicity, while metformin (met) shows anti-cancer potential by targeting tumor metabolism. we hypothesized that a biomimetic nanoplatform co-delivering dtx and met could achieve synergistic anti-tumor effects with enhanced safety. this study developed tumor cell membrane-camouflaged mesoporous silica nanoparticles co-loaded with dtx and met (mem(dtx&met@msns)). the nanoparticles were characterized for particle size, stability, drug loading, and membrane coating. in vitro assays were conducted to assess cellular uptake, cytotoxicity, and synergistic effects. in vivo studies were performed in her2-positive breast cancer-bearing mice to evaluate biodistribution, anti-tumor efficacy, toxicity, and histopathology. the mem(dtx&met@msns) nanoparticles showed a core-shell structure and ph-responsive release, with over 80% drug release at ph 6.5 versus less than 40% at ph 7.4. biomimetic coating enabled homologous targeting, enhancing cellular uptake and synergistic cytotoxicity in sk-br-3 cells (7.89% apoptosis). in vivo, the system prolonged the circulation half-life to nearly 6 h, effectively suppressed tumor growth, and demonstrated excellent biocompatibility with no significant toxicity or body weight loss. in conclusion, mem(dtx&met@msns) integrates homologous targeting with dual-drug synergism, offering a safe and effective strategy for the treatment of her2-positive breast cancer.",2026 Apr,41914068.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
metformin reduces senescence induced by obesity-related inflammation in luminal breast cancer through estrogen receptor beta modulation.,"obesity contributes to worse outcomes in breast cancer, particularly in the luminal subtype, where cellular senescence could increase tumor aggressiveness. parallelly, estrogen receptor beta (erbeta) has emerged as an important mediator in the cellular response to obesity-associated inflammation that metformin could counteract. this study explores metformin's role in targeting senescence to mitigate obesity-induced tumor progression. using the gse189757 dataset, differentially expressed genes in obese versus lean luminal breast cancer patients were examined by in silico analysis. t47d, bt474, and mcf7 cell lines were treated with an obesity-related inflammatory cocktail (elit) and metformin. protein levels, mrna expression and functional assays assessed mitochondrial activity, oxidative stress, cell viability, and senescence-related markers. the role of erbeta was investigated through gene silencing, gene overexpression, and correlation studies using datasets. experimental results show that elit exposure increased mitochondrial activity, oxidative stress, and senescence markers, particularly in t47d cells, effects that metformin mitigated. metformin also reduced sasp-related gene expression, thereby limiting autocrine signaling effects on migration, mammosphere formation, and drug sensitivity. erbeta expression was observed as a potential modulator of elit-induced alterations, and metformin reduced its expression. analysis of patient datasets revealed a positive correlation between erbeta gene (esr2) expression and senescence-related markers in obese luminal breast cancer patients, particularly mcl1, bcl2l1, ccl2, and icam1. these findings indicate that erbeta exhibits a key role as mediator of obesity-induced tumor alterations by promoting senescence-related markers, and that metformin's ability to target erbeta offers a potential strategy to suppress senescence-driven malignancy and improve therapeutic outcomes of obese luminal breast cancer patients.",2026 Jul,41895619.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
metformin enhances response to chemotherapy combined with immunotherapy in a triple negative breast cancer in vivo model.,"triple-negative breast cancer (tnbc) is a clinically heterogeneous disease that is predominantly treated with chemotherapy. although immune checkpoint inhibitors targeting the pd-1/pd-l1 axis, such as atezolizumab (atz), have expanded therapeutic options, their clinical benefit remains limited, emphasizing the need for strategies that improve efficacy without increasing toxicity. metformin (mtf), a widely prescribed antidiabetic drug, has demonstrated anticancer properties and synergistic effects with chemotherapy and immunotherapy in several tumor models. this study evaluated whether adding mtf to a chemo-immunotherapy regimen could enhance outcomes in an in vivo tnbc model. in vitro experiments were performed to determine the ic50 values of mtf and doxorubicin (doxo) in emt6 breast cancer cells and to assess their combined effects. in vivo studies were conducted using balb/c mice bearing subcutaneous emt6 tumors. treatment was initiated when tumor volumes reached 50-120 mm(3) . doxo and atz were administered intraperitoneally for two weeks, with doxo given twice weekly and atz once weekly. atz was injected at least three hours after doxo, and mtf was provided via drinking water. tumor growth was monitored daily and compared among treatment groups. the addition of mtf enhanced the antitumor efficacy of low-dose doxo (0.3 mg/kg) combined with atz, producing tumor-growth inhibition equivalent to that achieved with a 20-fold higher doxo dose plus atz. after fourteen days, tumor volumes in the triplet therapy group were reduced compared with doxo plus atz alone. importantly, mice receiving the mtf-containing regimen maintained body weight, indicating no added toxicity. these findings support metformin as an adjunct to chemo-immunotherapy.",2026 May,41855718.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
metformin triggers apoptosis via endoplasmic reticulum stress in her2-positive breast cancer cell lines.,"the antidiabetic drug metformin has potential as an anticancer agent, particularly due to its observed efficacy in breast cancer. metformin exerts its cytotoxic effects in the induction of endoplasmic reticulum (er) stress, which can trigger apoptotic cell death pathways. therefore, the present study aimed to investigate the dose-dependent effects of metformin on er stress and apoptosis in her2-positive breast cancer skbr3 cells. for this purpose, skbr3 cells were treated with 5, 10 and 20 mm metformin. cell proliferation was assessed using real-time cell analysis, while expression levels of er stress-associated genes [glucose-regulated protein 78 kda (grp78), prkr-like er kinase (perk), inositol-requiring enzyme 1 (ire1), activating transcription factor 6 (atf6) and chop)] were measured by revese transcription-quantitative pcr. apoptosis was analyzed by annexin v-fitc/pi flow cytometry in cells treated with 10 and 20 mm metformin. findings revealed that metformin (5, 10 and 20 mm) dose-dependently inhibited cell proliferation and activated er stress pathways. significant increases were observed in gene expression following treatment with 5, 10 and 20 mm metformin, respectively, including grp78 (3.70-, 5.06- and 7.33-fold; all p<0.0001) perk (2.48-, 4.36- and 9.11-fold; all p<0.0001), ire1 (2.15-fold, p=0.001; 2.90-fold, p<0.001; 5.55-fold, p<0.0001), atf6 (2.43-2.44- and 3.63-fold; all p<0.0001) and particularly in pro-apoptotic chop (3.31-, 27.47- and 49.85-fold; all p<0.0001). flow cytometry revealed that 10 and 20 mm metformin significantly increased early apoptosis to 6.05% (p<0.001) and 7.28% (p<0.001) and late apoptosis to 13.24% (p<0.001) and 20.59% (p<0.001), respectively, compared with controls (early apoptosis, 0.02%; late apoptosis, 0.05%). the present findings demonstrated that metformin activates er stress response and induces apoptosis in her2-positive breast cancer cells in a dose-dependent manner. this supports the potential of metformin as an adjuvant therapy, though further in vivo studies are needed to evaluate its clinical applicability.",2026 Apr,41822189.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
piperine-induced ampk activation and cell cycle arrest: insights from molecular simulations and experimental validation in breast cancer.,"breast cancer remains a leading cause of mortality among women, underscoring the need for novel, low-toxicity therapeutic strategies. piperine, a bioactive alkaloid derived from piper nigrum, has shown promising anticancer activity; however, its mechanistic link to ampk activation remains insufficiently explored. in this study, we investigated the role of ampk modulation in piperine-induced apoptosis in mcf-7 (luminal a, er-positive) breast cancer cells by integrating in silico molecular docking and 100 ns molecular dynamics (md) simulations with comprehensive in vitro validation. molecular docking revealed that piperine binds at the ampk alpha-beta interface (adam-like site) with a favorable binding affinity (- 6.3 kcal/mol), comparable to the reference ampk activator metformin (- 6.8 kcal/mol). md simulations demonstrated stable ligand-protein interactions and conformational stabilization of ampk over 100 ns. functionally, piperine exhibited a time-dependent cytotoxic effect with ic(5)(0) values of 81 microm (24 h), 44 microm (48 h), and 15 microm (72 h) as determined by mtt assay. annexin v-fitc/pi analysis showed significant apoptosis induction, with total apoptotic populations of 37.6 +/- 2.95% at 50 microm and 69.3 +/- 2.85% at 100 microm. cell cycle analysis revealed a marked arrest at the g2/m phase (~ 20-22%).additionally, piperine significantly inhibited cancer cell migration, reducing wound closure at 24 h to 29.5 +/- 0.3% (50 microm) and 18.8 +/- 0.2% (100 microm) compared to 45.3 +/- 0.4% in controls, and at 48 h to 48.1 +/- 0.2% and 27.6 +/- 0.3%, respectively (control: 72.4 +/- 0.6%). collectively, these findings demonstrate that piperine effectively modulates ampk signaling, correlating with apoptosis induction, cell-cycle arrest, and impaired migratory capacity in breast cancer cells, thereby highlighting its potential as an ampk-targeting therapeutic candidate for luminal a breast cancer.",2026 Mar 3,41774315.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
metformin as an immunometabolic modulator in breast cancer: integrating nk and nkt cell responses.,"breast cancer progression is increasingly recognized as an immunometabolic disorder in which tumor-intrinsic metabolic reprogramming and microenvironmental stress converge to impair innate immune surveillance. beyond its established role in glycemic control, metformin has emerged as a promising immunometabolic modulator with anticancer potential. accumulating evidence indicates that metformin suppresses breast tumor growth by targeting key metabolic vulnerabilities, including dysregulated glycolysis, lipid metabolism, and mitochondrial energetics, while simultaneously restoring the functional competence of innate immune effectors, particularly natural killer (nk) and natural killer t (nkt) cells. at the molecular level, metformin engages amp-activated protein kinase (ampk)-centered signaling and mitochondrial complex i-associated energetic stress, leading to downstream modulation of mtor activity, redox balance, autophagy, and rna-mediated regulatory networks. these coordinated effects reduce tumor cell plasticity and enhance immune permissiveness. within the tumor microenvironment, metformin attenuates hormone-dependent stromal support, disrupts immunosuppressive myeloid networks, normalizes chemokine and cytokine profiles, and promotes antigen presentation and innate immune cell recruitment. preclinical studies consistently demonstrate delayed tumor onset, suppression of aggressive breast cancer subtypes, impairment of cancer stem cell maintenance, and reinforcement of nk/nkt-mediated antitumor surveillance following metformin treatment. however, emerging clinical and translational evidence suggests that therapeutic efficacy is context dependent, influenced by tumor molecular subtype, host metabolic status, immune composition, and pathway-specific biomarker engagement. this review critically synthesizes mechanistic, preclinical, and clinical findings to position metformin as a host-directed immunometabolic adjuvant in breast cancer. integrating insights from metabolism, innate immunology, pharmacology, and biotechnology, this work highlights opportunities for biomarker-guided stratification and rational combination strategies aimed at enhancing nk/nkt-cell-driven antitumor immunity in breast cancer therapy.",2026 Mar,41768419.0,PubMed,,Narrative Review / Editorial / Commentary,4.0,-1,4.0
relationship between breast cancer and metformin: a bibliometric review.,"background: a complex relationship exists between diabetes, particularly type 2 diabetes, and breast cancer. metformin can help reduce the incidence of cancer and the risk of death in individuals with type 2 diabetes. this study utilized bibliometrics to analyze the potential impact of diabetes drugs on the treatment of breast cancer, aiming to reveal research trends and provide references for future research directions. methods: this bibliometric study analyzed the intersection of diabetes, breast cancer, and metformin using data from the web of science core collection and pubmed (2004-2024). a total of 1080 relevant publications were included. results: an initial slow growth in publications was noted, followed by a surge starting in 2008. the usa and china led these research efforts, with goodwin pj having the highest number of publications. the journal diabetes care was the most co-cited, with keywords such as ""breast cancer,"" ""risk,"" ""metformin,"" and ""growth"" frequently appearing. the analysis identified 4036 institutions and 5214 active authors in the field. conclusions: despite growing attention to the role of diabetes medications such as metformin in breast cancer treatment, research remains limited to mechanistic studies and retrospective clinical analyses. the optimal dose for clinical use remains unclear, which highlights the need for further experimental studies. this study provides valuable insights for both academic and clinical research, supporting the potential use of metformin to manage the relationship between diabetes and breast cancer.",2026 Feb 27,41760031.0,PubMed,,Narrative Review / Editorial / Commentary,4.0,-1,4.0
wbp2 attenuates metformin response in her2-positive breast cancer cells by repressing ampk activation and inducing a lower amp:atp ratio state through enhanced atp production.,"metformin is an antidiabetic drug that has been tested widely as an anti-cancer agent. however, data from clinical trials have been mixed. evidence for metformin's efficacy in her2+ breast cancer exists. hence, we evaluated whether wbp2, a her2-coamplified gene, can regulate the response of her2+ breast cancer to metformin. identification of biomarkers for predicting metformin response has implications in repurposing metformin for precision oncology. the effect of wbp2 on breast cancer response to metformin was studied using in vitro and mouse models. the mechanism of wbp2 on metformin-induced ampk activation was elucidated, and its co-expression with p-ampk was examined in clinical specimens using ihc. rna-seq analyses were performed to elucidate wbp2's mechanism in energy metabolism. wbp2 inhibited the metformin response of her2+ breast cancer in vitro and in vivo. these effects were concomitant with wbp2-mediated repression of metformin-induced ampk activation and mtor inhibition in her2+ breast cancer cells, a lower amp:atp ratio state, and enhanced glycolytic capacity and mitochondria respiration. analysis of her2-positive breast cancer samples supports the negative correlation between wbp2 expression and activated ampk observed in vitro. rna-seq analysis revealed the potential mechanism of wbp2 in regulating atp production processes and preferential effect of wbp2 on metformin response in her2+ breast cancer. this study reported a novel role of wbp2 in cancer metabolism and energetics that contributes new insights into the molecular etiology of cancer. wbp2 may be a biomarker for patient stratification, paving the way towards repurposing metformin for precision oncology.",2026 Feb 23,41744824.0,PubMed,,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,-1,7.5
metformin potentiates dsf/cu-loaded pluronic nanoparticles to improve therapeutic efficacy in triple-negative breast cancer.,"background: triple-negative breast cancer (tnbc) is an aggressive breast cancer subtype characterized by poor prognosis and resistance to conventional therapies, underscoring the need for novel therapeutic strategies. drug repurposing has emerged as a promising approach, with disulfiram (dsf) and metformin demonstrating anticancer potential. in addition, nanoparticle (np)-based drug delivery systems can enhance therapeutic efficacy and tumor selectivity. this study investigates the antitumor effects of a combination therapy using dsf/cu complex-loaded pluronic-based nanoparticles and metformin in tnbc cells. methods: pluronic-based nanoparticles were synthesized using the thin-film hydration method, and hyaluronic acid (ha) was conjugated to pluronic, as confirmed by h-nmr spectroscopy. drug-nanoparticle interactions were characterized using ftir analysis. drug loading efficiency, release profiles, and cellular uptake were evaluated under acidic and physiological conditions. cytotoxic effects of free drugs and np formulations were assessed using the mtt assay, while apoptosis was analyzed by flow cytometry. the expression levels of stat3, cd24, cd44 and aldh1 were quantified by real-time pcr. results: successful conjugation of ha to pluronic was confirmed by h-nmr, and ftir analysis verified physical interactions between the drugs and pluronic micelles. encapsulation efficiencies for dsf and dsf/cu were 89.5% and 73%, respectively. dsf/cu-loaded nanoparticles exhibited a faster drug release under acidic conditions compared to physiological ph. np formulations significantly enhanced cellular uptake and demonstrated a synergistic-like potentiating effect, wherein sub-cytotoxic concentrations of metformin markedly enhanced the anticancer efficacy of dsf/cu-loaded nanoparticles. apoptosis assays revealed increased apoptotic cell death with minimal necrosis. furthermore, real-time pcr analysis showed significant downregulation of stat3 and stemness-associated gene expression compared to untreated controls. conclusion: pluronic-based nanoparticles efficiently encapsulate dsf/cu and enhance its anticancer activity. the combination of metformin with dsf/cu-loaded nanoparticles significantly inhibits tnbc cell growth and reduces stemness properties. this low-toxicity, metabolism-assisted combination strategy shows strong potential for tnbc treatment and warrants further in vivo investigation. supplementary information: the online version contains supplementary material available at 10.1186/s12896-026-01113-5.",2026 Feb 23,41731430.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
therapeutic switching of metformin using heteroleptic cu(ii) and zn(ii) complexes: a combined experimental and computational study.,"ligands of the antidiabetic drug metformin and the natural flavonoid chrysin were used to synthesize cu-(ii) and zn-(ii) heteroleptic complexes. metal complexation was used to repurpose metformin against the breast cancer cell line mcf-7. structural information on the metal complexes was acquired using uv-vis absorption spectroscopy, ftir, hrms, tga/dta, xrd, sem-edx, molar conductance analysis, and time-dependent density functional theory (tddft). accordingly, we proposed that the structure of complex 1 was [cu-(c(4)h(11)n(5))-(c(15)h(9)o(4))-(c(2)h(3)o(2))], with a square pyramidal geometry, while complex 2 was [zn-(c(4)h(11)n(5))-(c(15)h(9)o(4))]-c(2)h(3)o(2) and exhibited a tetrahedral geometry. the ic(50) values were 18.93 and 43.31 mum for complexes 1 and 2, respectively, compared to the positive control cisplatin (ic(50) = 18.62 mum). the cancer cells' morphology changed from epithelial to a round shape, and the cell density decreased upon treatment, confirming the potential of the metal complexes to induce apoptosis. computationally, the biological significance of the metal complexes was inferred from quantum chemical descriptors and molecular docking analysis. the band gap energies of the metal complexes were 2.964 and 3.648 ev for complexes 1 and 2, respectively, compared to those of metformin (5.988 ev) and chrysin (4.403 ev). moreover, molecular docking simulations against estrogen receptor alpha (eralpha; pdb: 5gs4) revealed a binding energy of -5.69 kcal mol(-1) and an inhibition constant (k (i)) of 51.37 mum for complex 1, and -6.12 kcal mol(-1) and 30.12 mum, respectively, for complex 2. this work demonstrates the therapeutic switching capability of metformin via metal complexation.",2026 Feb 17,41726635.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
